cadi,pub,paper,lumi,category,name,model,comment,finalstate,crossSection,eTotm,eTotp,eStatm,eStatp,eSystm,eSystp,theoryCrossSection,eTheorym,eTheoryp,flag
SMP-12-011,1402.0923,PRL 112 (2014) 191802,0.018,EW,33,Z,8 TeV,,3.41652e+07,1.11001e+06,1.11001e+06,297089,297089,1.06952e+06,1.06952e+06,3.3571e+07,1.18835e+06,1.18835e+06,2
SMP-15-011,https://cds.cern.ch/record/2140105,,2.3,EW,34,Z,13 TeV,,5.55556e+07,1.83859e+06,1.83859e+06,59417.7,59417.7,1.83763e+06,1.83763e+06,5.55556e+07,1.3369e+06,1.3369e+06,2
SMP-00-000,,,5,EW,35,Zj,7 TeV,,4.31153e+06,732910,732910,144682,144682,718487,718487,4.32372e+06,155389,155389,1
SMP-00-000,,,5,EW,36,Z2j,7 TeV,,781284,169357,169357,86809.3,86809.3,145416,145416,831801,27316,27316,1
SMP-00-000,,,5,EW,37,Z3j,7 TeV,,121533,42902.3,42902.3,31830.1,31830.1,28765.5,28765.5,147358,6221.33,6221.33,1
SMP-00-000,,,5,EW,38,Z4j,7 TeV,,25174.7,17209.5,17209.5,14468.2,14468.2,9318.74,9318.74,27033.5,2421.98,2421.98,1
SMP-12-017,1408.3104,PRD 91 (2015) 052008,5,EW,39,Zj,7 TeV,,61430,3190,3190,3190,3190,0,0,63500,2653.77,2653.77,2
SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,40,Zj,8 TeV,,75537.7,3801.32,3801.32,100,100,3800,3800,76228.4,5400,5300,2
SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,41,Zj,13 TeV,,126200,7193.4,7193.4,290.26,290.26,7187.54,7187.54,132149,9510,9170,2
SMP-12-017,1408.3104,PRD 91 (2015) 052008,5,EW,42,Z2j,7 TeV,,12910,1540,1540,1540,1540,0,0,11500,1882.15,1882.15,2
SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,43,Z2j,8 TeV,,15637.7,1200,1200,1200,1200,1200,1200,15228.4,1400,1300,2
SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,44,Z2j,13 TeV,,28300,2264,2264,147.16,147.16,2259.21,2259.21,29685.2,2780,2530,2
SMP-12-017,1408.3104,PRD 91 (2015) 052008,5,EW,45,Z3j,7 TeV,,2500,380,380,380,380,0,0,2100,618.466,618.466,2
SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,46,Z3j,8 TeV,,3037.7,290.689,290.689,20,20,290,290,2728.37,320,320,2
SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,47,Z3j,13 TeV,,6010,661.1,661.1,66.11,66.11,657.786,657.786,6354.39,645,655,2
SMP-12-017,1408.3104,PRD 91 (2015) 052008,5,EW,48,Z4j,7 TeV,,474,82,82,82,82,0,0,360,148.071,148.071,2
SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,49,Z4j,8 TeV,,577.7,75.326,75.326,7,7,75,75,458.37,53,49,2
SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,50,Z4j,13 TeV,,1330,159.6,159.6,37.24,37.24,155.195,155.195,1260,124,121,2
SMP-12-017,1408.3104,PRD 91 (2015) 052008,5,EW,51,Z5j,7 TeV,,79,15,15,15,15,0,0,67,28.2312,28.2312,2
SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,52,Z5j,8 TeV,,106.7,18.2483,18.2483,3,3,18,18,73.37,8.4,7.3,2
SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,53,Z5j,13 TeV,,320,44.8,44.8,15.36,15.36,42.0846,42.0846,262,29.6,29.6,2
SMP-12-017,1408.3104,PRD 91 (2015) 052008,5,EW,54,Z6j,7 TeV,,11.6,3.7,3.7,3.7,3.7,0,0,13.9,9.94636,9.94636,2
SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,55,Z6j,8 TeV,,16.6,4.68402,4.68402,1.3,1.3,4.5,4.5,11.17,1.3,1.1,2
SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,56,Z6j,13 TeV,,45,10.8,10.8,6.75,6.75,8.43075,8.43075,55.2,5.82,5.44,2
SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,57,Z7j,13 TeV,,2.3,0.787464,0.787464,0.6,0.6,0.51,0.51,1.57,0.19,0.13,2
SMP-15-009,1711.02143,EPJC 78 (2018) 287,19.6,EW,58,Zc,8 TeV,,8800,781.025,781.025,500,500,600,600,9460,523.546,523.546,2
SMP-19-011,2012.04119,JHEP 04 (2021) 109,35.9,EW,59,Zc,13 TeV,,13621.4,817.944,817.944,188.16,188.16,796.008,796.008,17636.6,393.12,393.12,2
SMP-13-004,1402.1521,JHEP 06 (2014) 120,5,EW,60,Z1b,7 TeV,,3880,220,220,20,20,219.089,219.089,3990,270,270,2
SMP-14-010,1611.06507,EPJC 77 (2017) 751,19.6,EW,61,Z1b,8 TeV,,3550,210,210,120,120,172.337,172.337,4230,370,270,2
SMP-20-015,2112.09659,Submitted to Phys. Rev. D,137,EW,62,Z1b,13 TeV,,6520,425.676,425.676,40,40,423.792,423.792,7030,470,470,2
SMP-13-004,1402.1521,JHEP 06 (2014) 120,5,EW,63,Z2b,7 TeV,,360,70,70,10,10,69.282,69.282,290,40,40,2
SMP-14-010,1611.06507,EPJC 77 (2017) 751,19.6,EW,64,Z2b,8 TeV,,331,35,35,11,11,33.2265,33.2265,356,31,30,2
SMP-20-015,2112.09659,Submitted to Phys. Rev. D,137,EW,65,Z2b,13 TeV,,650,78.7401,78.7401,30,30,72.8011,72.8011,770,70,70,2
EWK-11-009,1308.6832,PRD 89 (2014) 092005,5.0,DB,70,W$\gamma$,7 TeV,,342593,38488.1,38488.1,7407.41,7407.41,37768.5,37768.5,294537,16666.7,16666.7,1
SMP-19-002,2102.02283,PRL 126 252002 (2021),137,DB,71,W$\gamma$,13 TeV,,144259,6915.99,6915.99,462.963,462.963,6900.48,6900.48,142593,11149.6,11149.6,1
SMP-20-011,https://cds.cern.ch/record/2809554,,138,DB,72,W$\gamma$2j,13 TeV,,90,10.2859,10.3228,1.6,1.6,10.1607,10.198,91.8367,10,10,2
EWK-11-009,1308.6832,PRD 89 (2014) 092005,5.0,DB,73,Z$\gamma$,7 TeV,,158348,8574.25,8574.25,2376.71,2376.71,8238.27,8238.27,161913,8021.39,8021.39,1
SMP-13-014,1502.05664,JHEP 04 (2015) 164,19.5,DB,74,Z$\gamma$,8 TeV,,188246,10356.2,10356.2,1733.72,1733.72,10210.1,10210.1,191622,10949.8,10949.8,1
SMP-20-016,2106.11082,PRD 104 072001 (2021),137,DB,75,Z$\gamma$2j,13 TeV,,14.7,1.49251,1.49251,0.8,0.8,1.26,1.26,13.3,0.1,1.72,2
SMP-12-005,1306.1126,EPJC 73 (2013) 2610,4.9,DB,77,WW,7 TeV,,52400,5068.3,5068.3,2000,2000,4657,4657,49040,956.28,956.28,1
SMP-14-016,1507.03268,EPJC 76 (2016) 401,19.4,DB,78,WW,8 TeV,,60100,4818.71,4818.71,900,900,4733.92,4733.92,59840,1226.72,1226.72,1
SMP-18-004,2009.00119,PRD 102 092001 (2020),35.9,DB,79,WW,13 TeV,,117600,6786.75,6786.75,1400,1400,6640.78,6640.78,118800,3600,3600,1
SMP-14-014,1609.05721,EPJC 77 (2017) 236,4.9,DB,82,WZ,7 TeV,,20140,1792.46,1792.46,1320,1320,1212.64,1212.64,19180,345.24,326.06,1
SMP-14-014,1609.05721,EPJC 77 (2017) 236,19.6,DB,83,WZ,8 TeV,,24090,1792.46,1792.46,870,870,1738.19,1738.19,23680,420.84,426.24,1
