cadi,pub,paper,lumi,category,name,model,comment,finalstate,crossSection,lower,upper,statLower,statUpper,theoryLower,theoryUpper,flag
SMP-17-005,1806.11073,PLB 789 (2019) 19,35.9,DB,95,ZZj,13 TeV,,0.0081,6.95109,9.24891,7.3,8.9,9.3,10.1,1
SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,96,ZZ2jj,8 TeV,,0.0008,0.483772,1.11623,0.5,1.1,1.1,1.4,1
SMP-17-005,1806.11073,PLB 789 (2019) 19,35.9,DB,97,ZZ2j,13 TeV,,0.003,2.38138,3.61862,2.5,3.5,3.8,4.3,1
SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,98,ZZ3j,8 TeV,,0.00014,0.0395013,0.240499,0.04,0.24,0.2,0.4,1
SMP-17-005,1806.11073,PLB 789 (2019) 19,35.9,DB,99,ZZ3j,13 TeV,,0.0013,0.828301,1.7717,0.9,1.7,1.6,1.8,1
TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,130,tt0j,13 TeV,,97,89719.9,104280,95000,99000,91000,109000,1
TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,131,ttj,13 TeV,,77,65819.7,88180.3,75000,79000,64330,81590,1
TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,134,tt2j,13 TeV,,36,29917.2,42082.8,35000,37000,32030,41830,1
TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,137,tt3j,13 TeV,,12.7,9542.47,15857.5,12100,13300,12680,17660,1
TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,138,tt4j,13 TeV,,5.9,3790.5,8009.5,5700,6100,6090,10030,1
TOP-20-003,2012.09225,PLB 820 (2021) 136565,41.5,TOP,139,tt2c,13 TeV,,8,6297.06,9702.94,6900,9100,7400,10400,1
TOP-20-003,2012.09225,PLB 820 (2021) 136565,35.9,TOP,140,tt2b,13 TeV,,4.09,3443.39,4736.61,3750,4430,2730,4050,1
HIG-17-028,1812.06504,PLB 792 (2019) 369,35.9,HIG,192,H0j,13 TeV,,0.047,40.6,53.2,40.7,53.3,33.4046,38.0154,1
HIG-17-028,1812.06504,PLB 792 (2019) 369,35.9,HIG,193,Hj,13 TeV,,0.011,7.6,14.7,7.45,14.55,12.9418,15.1182,1
HIG-17-028,1812.06504,PLB 792 (2019) 369,35.9,HIG,194,H2j,13 TeV,,0.0035,1.8,5.4,1.7,5.3,3.73189,4.57411,1
HIG-17-028,1812.06504,PLB 792 (2019) 369,35.9,HIG,195,H3j,13 TeV,,0.0018,0.3,3.5,0.2,3.4,0.951856,1.24414,1
HIG-17-028,1812.06504,PLB 792 (2019) 369,35.9,HIG,196,H4j,13 TeV,,0.0012,0.32,2.03,0.345,2.055,0.564692,0.706708,1
