label,cadi,arxiv,paper,lumi,category,process,com,finalstate,xs,tot_down,tot_up,stat_down,stat_up,syst_down,syst_up,xs_theory,theory_down,theory_up
Z13,Submitted to JHEP,https://cds.cern.ch/record/2868090,,0.206,EW,Z,13,,1.952e+09,4.86313e+07,4.86313e+07,4e+06,4e+06,4.84665e+07,4.84665e+07,1.87657e+09,1.59173e+07,1.2471e+07
Z13fid,Submitted to JHEP,https://cds.cern.ch/record/2868090,,0.206,EW,Z,13,,7.54e+08,1.73781e+07,1.73781e+07,2e+06,2e+06,1.72627e+07,1.72627e+07,7.43e+08,1.8e+07,1.8e+07
Z136,SMP-22-017,https://cds.cern.ch/record/2868001,,5.04,EW,Z,13.6,,2.01e+09,4.98999e+07,4.98999e+07,1e+06,1e+06,4.98899e+07,4.98899e+07,1.99429e+09,1.72251e+07,1.33721e+07
Z136fid,SMP-22-017,https://cds.cern.ch/record/2868001,,5.04,EW,Z,13.6,,7.635e+08,1.89085e+07,1.89085e+07,400000,400000,1.89042e+07,1.89042e+07,7.67e+08,7.9e+06,6.8e+06
Z1jetn,SMP-12-017,1408.3104,PRD 91 (2015) 052008,5,EW,Z$ \! \geq \!$1j,7,,6.143e+07,3.19e+06,3.19e+06,3.19e+06,3.19e+06,nan,nan,6.35e+07,2.65377e+06,2.65377e+06
Z1jet8,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$1j,8,,7.55377e+07,3.80132e+06,3.80132e+06,100000,100000,3.8e+06,3.8e+06,7.62284e+07,5.4e+06,5.3e+06
Z1jet13,SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,Z$ \! \geq \!$1j,13,,1.262e+08,7.1934e+06,7.1934e+06,290260,290260,7.18754e+06,7.18754e+06,1.32149e+08,9.51e+06,9.17e+06
Z2jetn,SMP-12-017,1408.3104,PRD 91 (2015) 052008,5,EW,Z$ \! \geq \!$2j,7,,1.291e+07,1.54e+06,1.54e+06,1.54e+06,1.54e+06,nan,nan,1.15e+07,1.88215e+06,1.88215e+06
Z2jet8,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$2j,8,,1.56377e+07,1.2e+06,1.2e+06,0,0,1.2e+06,1.2e+06,1.52284e+07,1.4e+06,1.3e+06
Z2jet13,SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,Z$ \! \geq \!$2j,13,,2.83e+07,2.264e+06,2.264e+06,147160,147160,2.25921e+06,2.25921e+06,2.96852e+07,2.78e+06,2.53e+06
Z3jetn,SMP-12-017,1408.3104,PRD 91 (2015) 052008,5,EW,Z$ \! \geq \!$3j,7,,2.5e+06,380000,380000,380000,380000,nan,nan,2.1e+06,618466,618466
Z3jet8,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$3j,8,,3.0377e+06,290689,290689,20000,20000,290000,290000,2.72837e+06,320000,320000
Z3jet13,SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,Z$ \! \geq \!$3j,13,,6.01e+06,661100,661100,66110,66110,657786,657786,6.35439e+06,645000,655000
Z4jetn,SMP-12-017,1408.3104,PRD 91 (2015) 052008,5,EW,Z$ \! \geq \!$4j,7,,474000,82000,82000,82000,82000,nan,nan,360000,148071,148071
Z4jet8,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$4j,8,,577700,75326,75326,7000,7000,75000,75000,458370,53000,49000
Z4jet13,SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,Z$ \! \geq \!$4j,13,,1.33e+06,159600,159600,37240,37240,155195,155195,1.26e+06,124000,121000
Z5jetn,SMP-12-017,1408.3104,PRD 91 (2015) 052008,5,EW,Z$ \! \geq \!$5j,7,,79000,15000,15000,15000,15000,nan,nan,67000,28231.2,28231.2
Z5jet8,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$5j,8,,106700,18248.3,18248.3,3000,3000,18000,18000,73370,8400,7300
Z5jet13,SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,Z$ \! \geq \!$5j,13,,320000,44800,44800,15360,15360,42084.6,42084.6,262000,29600,29600
Z6jetn,SMP-12-017,1408.3104,PRD 91 (2015) 052008,5,EW,Z$ \! \geq \!$6j,7,,11600,3700,3700,3700,3700,0.419342,0.419342,13900,9946.36,9946.36
Z6jet8,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$6j,8,,16600,4684.02,4684.02,1300,1300,4500,4500,11170,1300,1100
Z6jet13,SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,Z$ \! \geq \!$6j,13,,45000,10800,10800,6750,6750,8430.75,8430.75,55200,5820,5440
Z7jet8,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$7j,8,,2300,787.464,787.464,600,600,510,510,1570,190,130
Z1cjet8,SMP-15-009,1711.02143,EPJC 78 (2018) 287,19.6,EW,Z$\:\!$c,8,,8.8e+06,781025,781025,500000,500000,600000,600000,9.46e+06,523546,523546
Z1cjet13,SMP-19-011,2012.04119,JHEP 04 (2021) 109,35.9,EW,Z$\:\!$c,13,,1.36214e+07,817944,817944,188160,188160,796008,796008,1.76366e+07,393120,393120
Z1bjet,SMP-13-004,1402.1521,JHEP 06 (2014) 120,5,EW,Z$ \! \geq \!$1b,7,,3.88e+06,220000,220000,20000,20000,219089,219089,3.99e+06,270000,270000
Z1bjet8,SMP-14-010,1611.06507,EPJC 77 (2017) 751,19.6,EW,Z$ \! \geq \!$1b,8,,3.55e+06,210000,210000,120000,120000,172337,172337,4.23e+06,370000,270000
Z1bjet13,SMP-20-015,2112.09659,PRD 105 (2022) 092014,137,EW,Z$ \! \geq \!$1b,13,,6.52e+06,425676,425676,40000,40000,423792,423792,7.03e+06,470000,470000
Z2bjet,SMP-13-004,1402.1521,JHEP 06 (2014) 120,5,EW,Z$ \! \geq \!$2b,7,,360000,70000,70000,10000,10000,69282,69282,290000,40000,40000
Z2bjet8,SMP-14-010,1611.06507,EPJC 77 (2017) 751,19.6,EW,Z$ \! \geq \!$2b,8,,331000,35000,35000,11000,11000,33226.5,33226.5,356000,31000,30000
Z2bjet13,SMP-20-015,2112.09659,PRD 105 (2022) 092014,137,EW,Z$ \! \geq \!$2b,13,,650000,78740.1,78740.1,30000,30000,72801.1,72801.1,770000,70000,70000
Wg,EWK-11-009,1308.6832,PRD 89 (2014) 092005,5.0,DB,W$\gamma$,7,,3.7e+07,4.15671e+06,4.15671e+06,800000,800000,4.079e+06,4.079e+06,3.181e+07,1.8e+06,1.8e+06
Wg13,SMP-19-002,2102.02283,PRL 126 252002 (2021),137,DB,W$\gamma$,13,,1.558e+07,746927,746927,50000,50000,745252,745252,1.54e+07,1.20416e+06,1.20416e+06
Wg2jet13,SMP-20-011,2212.12592,PRD 108 (2023) 032017,138,DB,W$\gamma \! \geq \!$2j,13,,113000,13352.5,13388.4,2000,2000,13201.9,13238.2,115306,10000,10000
Zg,EWK-11-009,1308.6832,PRD 89 (2014) 092005,5.0,DB,Z$\gamma$,7,,5.33e+06,288609,288609,80000,80000,277300,277300,5.45e+06,270000,270000
Zg8,SMP-13-014,1502.05664,JHEP 04 (2015) 164,19.5,DB,Z$\gamma$,8,,2.063e+06,113495,113495,19000,19000,111893,111893,2.241e+06,22000,22000
Zg2jet13,SMP-20-016,2106.11082,PRD 104 072001 (2021),137,DB,Z$\gamma \! \geq \!$2j,13,,14700,1492.51,1492.51,800,800,1260,1260,13300,100,1720
WW5,SMP-20-012,2107.01137,PRL 127 (2021) 191801,0.302,DB,WW,5.02,,3.7e+07,5.97034e+06,5.97034e+06,5.2e+06,5.5e+06,2.6e+06,2.7e+06,2.981e+07,630000,690000
WW,SMP-12-005,1306.1126,EPJC 73 (2013) 2610,4.9,DB,WW,7,,5.24e+07,5.0683e+06,5.0683e+06,2e+06,2e+06,4.657e+06,4.657e+06,5.03e+07,1.1e+06,1.2e+06
WW8,SMP-14-016,1507.03268,EPJC 76 (2016) 401,19.4,DB,WW,8,,6.01e+07,4.81871e+06,4.81871e+06,900000,900000,4.73392e+06,4.73392e+06,6.15e+07,1.3e+06,1.6e+06
WW13,SMP-18-004,2009.00119,PRD 102 092001 (2020),35.9,DB,WW,13,,1.176e+08,6.78675e+06,6.78675e+06,1.4e+06,1.4e+06,6.64078e+06,6.64078e+06,1.225e+08,3.2e+06,3.5e+06
WW0jet13,SMP-18-004,2009.00119,PRD 102 092001 (2020),35.9,DB,WW$ \! + $0j,13,,9.09048e+07,8.87003e+06,8.87003e+06,940800,940800,8.82e+06,8.82e+06,7.92396e+07,6.9404e+06,6.9404e+06
WW1jet13,SMP-18-004,2009.00119,PRD 102 092001 (2020),35.9,DB,WW$\:\!$1j,13,,2.26968e+07,5.12337e+06,5.12337e+06,823200,823200,5.0568e+06,5.0568e+06,7.92396e+07,4.00763e+06,4.00763e+06
