label,cadi,arxiv,paper,lumi,category,process,com,finalstate,xs,tot_down,tot_up,stat_down,stat_up,syst_down,syst_up,xs_theory,theory_down,theory_up
30,SMP-21-005,2308.02285,Submitted to EPJC,138.0,EW,W$\:\!$c,13,,163400.0,6220.13,6220.13,500.0,500.0,6200.0,6200.0,175200.0,9300.0,9300.0
31,SMP-12-026,1312.6608,PLB 735 (2014) 204,5.0,EW,W$\:\!$2b,7,,530.0,119.583,119.583,50.0,50.0,108.628,108.628,550.0,59.1608,59.1608
32,SMP-14-020,1608.07561,EPJC 77 (2017) 92,19.8,EW,W$\:\!$2b,8,,620.0,122.066,122.066,30.0,30.0,118.322,118.322,510.0,63.2455,63.2455
33,HIN-13-004,1410.4825,JHEP 03 (2015) 022,0.0054,EW,Z,2.76,,8853240.0,445633.0,445633.0,445633.0,445633.0,0.0,0.0,9298870.0,59417.7,29708.9
34,SMP-20-004,https://cds.cern.ch/record/2868090,PAS-SMP-20-004,0.0054,EW,Z,5.02,,19875200.0,429496.0,429496.0,59417.7,59417.7,425366.0,425366.0,20053500.0,207962.0,207962.0
35,SMP-13-003,1310.7291,JHEP 10 (2011) 132,4.8,EW,Z,7,,29304800.0,928586.0,928586.0,17825.3,17825.3,928415.0,928415.0,28758200.0,193108.0,193108.0
36,SMP-12-011,1402.0923,PRL 112 (2014) 191802,0.018,EW,Z,8,,34165200.0,1110010.0,1110010.0,297089.0,297089.0,1069520.0,1069520.0,33571000.0,1188350.0,1188350.0
37,SMP-20-004,https://cds.cern.ch/record/2868090,PAS-SMP-20-004,0.201,EW,Z,13,,59596000.0,1123060.0,1123060.0,118835.0,118835.0,1116750.0,1116750.0,57635200.0,623886.0,445633.0
38,SMP-22-017,https://cds.cern.ch/record/2868001,PAS-SMP-22-017,5.04,EW,Z,13.6,,59714800.0,1482470.0,1482470.0,29708.9,29708.9,1482170.0,1482170.0,59952500.0,770714.0,642701.0
39,SMP-12-017,1408.3104,PRD 91 (2015) 052008,5.0,EW,Z$ \! \geq \!$1j,7,,61430.0,3190.0,3190.0,3190.0,3190.0,,,63500.0,2653.77,2653.77
40,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$1j,8,,75537.7,3801.32,3801.32,100.0,100.0,3800.0,3800.0,76228.4,5400.0,5300.0
41,SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,Z$ \! \geq \!$1j,13,,126200.0,7193.4,7193.4,290.26,290.26,7187.54,7187.54,132149.0,9510.0,9170.0
42,SMP-12-017,1408.3104,PRD 91 (2015) 052008,5.0,EW,Z$ \! \geq \!$2j,7,,12910.0,1540.0,1540.0,1540.0,1540.0,,,11500.0,1882.15,1882.15
43,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$2j,8,,15637.7,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,15228.4,1400.0,1300.0
44,SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,Z$ \! \geq \!$2j,13,,28300.0,2264.0,2264.0,147.16,147.16,2259.21,2259.21,29685.2,2780.0,2530.0
45,SMP-12-017,1408.3104,PRD 91 (2015) 052008,5.0,EW,Z$ \! \geq \!$3j,7,,2500.0,380.0,380.0,380.0,380.0,,,2100.0,618.466,618.466
46,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$3j,8,,3037.7,290.689,290.689,20.0,20.0,290.0,290.0,2728.37,320.0,320.0
47,SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,Z$ \! \geq \!$3j,13,,6010.0,661.1,661.1,66.11,66.11,657.786,657.786,6354.39,645.0,655.0
48,SMP-12-017,1408.3104,PRD 91 (2015) 052008,5.0,EW,Z$ \! \geq \!$4j,7,,474.0,82.0,82.0,82.0,82.0,,,360.0,148.071,148.071
49,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$4j,8,,577.7,75.326,75.326,7.0,7.0,75.0,75.0,458.37,53.0,49.0
50,SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,Z$ \! \geq \!$4j,13,,1330.0,159.6,159.6,37.24,37.24,155.195,155.195,1260.0,124.0,121.0
51,SMP-12-017,1408.3104,PRD 91 (2015) 052008,5.0,EW,Z$ \! \geq \!$5j,7,,79.0,15.0,15.0,15.0,15.0,,,67.0,28.2312,28.2312
52,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$5j,8,,106.7,18.2483,18.2483,3.0,3.0,18.0,18.0,73.37,8.4,7.3
53,SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,Z$ \! \geq \!$5j,13,,320.0,44.8,44.8,15.36,15.36,42.0846,42.0846,262.0,29.6,29.6
54,SMP-12-017,1408.3104,PRD 91 (2015) 052008,5.0,EW,Z$ \! \geq \!$6j,7,,11.6,3.7,3.7,3.7,3.7,0.000419342,0.000419342,13.9,9.94636,9.94636
55,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$6j,8,,16.6,4.68402,4.68402,1.3,1.3,4.5,4.5,11.17,1.3,1.1
56,SMP-16-015,1804.05252,EPJC 78 (2018) 965,2.19,EW,Z$ \! \geq \!$6j,13,,45.0,10.8,10.8,6.75,6.75,8.43075,8.43075,55.2,5.82,5.44
57,SMP-14-013,1611.03844,JHEP 04 (2017) 022,19.6,EW,Z$ \! \geq \!$7j,8,,2.3,0.787464,0.787464,0.6,0.6,0.51,0.51,1.57,0.19,0.13
58,SMP-15-009,1711.02143,EPJC 78 (2018) 287,19.6,EW,Z$\:\!$c,8,,8800.0,781.025,781.025,500.0,500.0,600.0,600.0,9460.0,523.546,523.546
59,SMP-19-011,2012.04119,JHEP 04 (2021) 109,35.9,EW,Z$\:\!$c,13,,13621.4,817.944,817.944,188.16,188.16,796.008,796.008,17636.6,393.12,393.12
60,SMP-13-004,1402.1521,JHEP 06 (2014) 120,5.0,EW,Z$ \! \geq \!$1b,7,,3880.0,220.0,220.0,20.0,20.0,219.089,219.089,3990.0,270.0,270.0
61,SMP-14-010,1611.06507,EPJC 77 (2017) 751,19.6,EW,Z$ \! \geq \!$1b,8,,3550.0,210.0,210.0,120.0,120.0,172.337,172.337,4230.0,370.0,270.0
62,SMP-20-015,2112.09659,PRD 105 (2022) 092014,137.0,EW,Z$ \! \geq \!$1b,13,,6520.0,425.676,425.676,40.0,40.0,423.792,423.792,7030.0,470.0,470.0
63,SMP-13-004,1402.1521,JHEP 06 (2014) 120,5.0,EW,Z$ \! \geq \!$2b,7,,360.0,70.0,70.0,10.0,10.0,69.282,69.282,290.0,40.0,40.0
64,SMP-14-010,1611.06507,EPJC 77 (2017) 751,19.6,EW,Z$ \! \geq \!$2b,8,,331.0,35.0,35.0,11.0,11.0,33.2265,33.2265,356.0,31.0,30.0
65,SMP-20-015,2112.09659,PRD 105 (2022) 092014,137.0,EW,Z$ \! \geq \!$2b,13,,650.0,78.7401,78.7401,30.0,30.0,72.8011,72.8011,770.0,70.0,70.0
66,EWK-11-009,1308.6832,PRD 89 (2014) 092005,5.0,DB,W$\gamma$,7,,342593.0,38488.1,38488.1,7407.41,7407.41,37768.5,37768.5,294537.0,16666.7,16666.7
67,SMP-19-002,2102.02283,PRL 126 252002 (2021),137.0,DB,W$\gamma$,13,,144259.0,6915.99,6915.99,462.963,462.963,6900.48,6900.48,142593.0,11149.6,11149.6
68,SMP-20-011,2212.12592,PRD 108 (2023) 032017,138.0,DB,W$\gamma \! \geq \!$2j,13,,113.0,13.3525,13.3884,2.0,2.0,13.2019,13.2382,115.306,10.0,10.0
69,EWK-11-009,1308.6832,PRD 89 (2014) 092005,5.0,DB,Z$\gamma$,7,,158348.0,8574.25,8574.25,2376.71,2376.71,8238.27,8238.27,161913.0,8021.39,8021.39
70,SMP-13-014,1502.05664,JHEP 04 (2015) 164,19.5,DB,Z$\gamma$,8,,188246.0,10356.2,10356.2,1733.72,1733.72,10210.1,10210.1,191622.0,10949.8,10949.8
71,SMP-20-016,2106.11082,PRD 104 072001 (2021),137.0,DB,Z$\gamma \! \geq \!$2j,13,,14.7,1.49251,1.49251,0.8,0.8,1.26,1.26,13.3,0.1,1.72
72,SMP-20-012,2107.01137,PRL 127 (2021) 191801,0.302,DB,WW,5.02,,37000.0,5970.34,5970.34,5200.0,5500.0,2600.0,2700.0,29800.0,600.0,700.0
73,SMP-12-005,1306.1126,EPJC 73 (2013) 2610,4.9,DB,WW,7,,52400.0,5068.3,5068.3,2000.0,2000.0,4657.0,4657.0,49040.0,956.28,956.28
74,SMP-14-016,1507.03268,EPJC 76 (2016) 401,19.4,DB,WW,8,,60100.0,4818.71,4818.71,900.0,900.0,4733.92,4733.92,59840.0,1226.72,1226.72
75,SMP-18-004,2009.00119,PRD 102 092001 (2020),35.9,DB,WW,13,,117600.0,6786.75,6786.75,1400.0,1400.0,6640.78,6640.78,118800.0,3600.0,3600.0
76,SMP-18-004,2009.00119,PRD 102 092001 (2020),35.9,DB,WW$ \! + $0j,13,,90904.8,8870.03,8870.03,940.8,940.8,8820.0,8820.0,79239.6,6940.4,6940.4
77,SMP-18-004,2009.00119,PRD 102 092001 (2020),35.9,DB,WW$\:\!$1j,13,,22696.8,5123.37,5123.37,823.2,823.2,5056.8,5056.8,79239.6,4007.63,4007.63
78,SMP-18-004,2009.00119,PRD 102 092001 (2020),35.9,DB,WW$ \! \geq \!$2j,13,,3998.4,3944.42,3944.42,705.6,705.6,3880.8,3880.8,8910.0,3169.98,3169.98
79,SMP-20-012,2107.01137,PRL 127 (2021) 191801,0.302,DB,WZ,5.02,,6400.0,2334.52,2334.52,2100.0,2500.0,300.0,500.0,11300.0,200.0,200.0
80,SMP-14-014,1609.05721,EPJC 77 (2017) 236,4.9,DB,WZ,7,,20140.0,1792.46,1792.46,1320.0,1320.0,1212.64,1212.64,19180.0,345.24,326.06
81,SMP-14-014,1609.05721,EPJC 77 (2017) 236,19.6,DB,WZ,8,,24090.0,1792.46,1792.46,870.0,870.0,1738.19,1738.19,23680.0,420.84,426.24
82,SMP-20-014,2110.11231,JHEP 07 (2022) 032,137.0,DB,WZ,13,,50600.0,2718.46,2718.46,800.0,800.0,2598.08,2598.08,50070.0,1000.0,1100.0
83,SMP-14-014,1609.05721,EPJC 77 (2017) 236,19.6,DB,WZ$ \! + $0j,8,,58.7098,7.92566,7.92566,7.0888,7.0888,3.54472,3.54472,52.8922,0.0181764,0.0181764
84,SMP-14-014,1609.05721,EPJC 77 (2017) 236,19.6,DB,WZ$\:$j,8,,19.1579,4.48497,4.48497,4.03516,4.03516,1.95766,1.95766,22.3606,0.109058,0.109058
85,SMP-14-014,1609.05721,EPJC 77 (2017) 236,19.6,DB,WZ$\:\!$2j,8,,7.67044,2.69967,2.69967,2.50834,2.50834,0.998214,0.998214,3.37829,0.0363528,0.0363528
86,SMP-20-012,2107.01137,PRL 127 (2021) 191801,0.302,DB,ZZ,5.02,,5300.0,2343.61,2343.61,2100.0,2500.0,400.0,500.0,3900.0,100.0,100.0
87,SMP-12-007,1211.4890,JHEP 01 (2013) 063,4.9,DB,ZZ,7,,6240.0,962.945,962.945,860.0,860.0,433.2,433.2,6460.0,171.19,171.19
88,SMP-13-005,1406.0113,PLB 740 (2015) 250,19.6,DB,ZZ,8,,7700.0,807.752,807.752,500.0,500.0,634.4,634.4,7960.0,222.88,222.88
89,SMP-19-001,2009.01186,EPJC 81 (2021) 200,137.0,DB,ZZ,13,,17200.0,768.115,768.115,300.0,300.0,707.107,707.107,16500.0,500.0,600.0
90,SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,ZZ$ \! = $0j,8,,16.3,1.58205,1.58205,1.2,1.2,0.984886,1.07703,13.2,0.7,0.9
91,SMP-22-001,https://cds.cern.ch/record/2859350,PAS-SMP-22-001,138.0,DB,ZZ$ \! = $0j,13,,26.8588,1.36744,1.36744,1.28412,1.45077,0.0,0.0,26.7607,0.392099,0.392099
92,SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,ZZ$\:$j,8,,3.2,0.678233,0.678233,0.6,0.6,0.316228,0.316228,4.0,0.3,0.5
93,SMP-22-001,https://cds.cern.ch/record/2859350,PAS-SMP-22-001,138.0,DB,ZZ$\:$j,13,,7.26363,0.735185,0.735185,0.764593,0.705778,0.0,0.0,8.7438,0.196049,0.196049
94,SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,ZZ$\:$2j,8,,0.8,0.316228,0.316228,0.3,0.3,0.1,0.1,1.2,0.1,0.2
95,SMP-22-001,https://cds.cern.ch/record/2859350,PAS-SMP-22-001,138.0,DB,ZZ$\:$2j,13,,3.39165,0.401901,0.372494,0.401901,0.372494,0.0,0.0,2.95054,0.0980247,0.0980247
